Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
"          Creole languages, n.i.e.",120,25,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Dravidian languages,50205,2010,445,530,465,640,325,1440,280,175,495,230,500,1705,190,425,1220,1765,735,585,3010,6965,3540,6435,7305,8800
          Kannada,525,40,0,25,0,0,0,15,0,0,55,0,25,75,15,15,20,60,25,0,25,20,30,0,20,15
          Malayalam,4690,255,55,110,55,45,45,80,0,0,30,70,70,85,30,40,105,415,190,40,285,560,345,270,1120,385
          Tamil,40480,1530,310,220,350,575,255,1265,225,150,290,55,245,1190,125,275,840,855,285,375,2270,5840,2845,6050,5810,8265
          Telugu,4485,180,70,170,60,0,30,80,60,25,125,100,160,350,25,90,260,430,230,165,420,555,320,105,350,120
          Tulu,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Dravidian languages, n.i.e.",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Georgian,690,0,0,0,0,0,365,0,15,0,0,0,20,0,0,0,0,0,195,0,0,30,0,0,0,0
        Hmong-Mien languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Indo-European languages,318655,21715,17300,16805,7550,18575,16845,16195,10735,16465,8975,6300,10490,8365,6315,12740,15195,15940,18795,8620,13535,13895,7960,6740,14210,8405
          Albanian,4390,70,775,510,65,180,140,70,585,85,30,85,195,90,260,205,280,80,50,185,105,230,40,0,60,15
          Armenian,4750,35,30,10,25,0,185,70,55,20,35,15,90,50,0,80,570,860,165,10,10,240,1905,180,70,30
          Balto-Slavic languages,53405,1255,8315,8210,3695,1085,6435,725,2025,590,1585,710,1775,1325,1150,1455,2505,1710,3925,985,945,940,505,150,765,655
            Baltic languages,645,25,165,75,105,20,60,0,0,0,0,0,30,0,15,15,25,40,10,0,0,0,10,0,0,0
              Latvian,285,0,40,15,30,0,30,0,0,0,0,0,25,0,15,0,25,40,0,0,0,0,10,0,0,0
              Lithuanian,355,25,135,60,75,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Slavic languages,52765,1230,8145,8135,3590,1060,6375,725,2020,580,1580,710,1745,1320,1135,1440,2475,1670,3910,985,935,935,495,145,765,655
              Belarusian,25,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Bulgarian,2060,0,235,150,90,10,160,40,35,20,60,20,60,30,150,80,265,95,60,195,120,110,30,0,35,0
              Czech,750,20,45,55,165,0,40,40,10,0,15,0,0,15,35,0,30,15,20,20,0,0,0,0,105,80
              Macedonian,2180,0,220,30,10,25,15,0,45,0,10,30,65,30,155,50,95,105,60,120,215,305,150,40,215,190
              Polish,8730,550,1490,2365,1210,395,205,135,140,120,235,60,170,165,100,95,185,70,80,35,250,215,80,30,150,200
              Russian,20680,160,950,1885,815,120,5585,350,1175,215,840,370,800,750,175,535,540,1090,3345,250,210,125,115,35,165,85
              Rusyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Serbo-Croatian,10050,340,2725,1370,730,255,155,75,465,105,210,135,490,240,485,480,530,230,205,345,130,125,65,20,50,80
                Bosnian,655,25,195,65,70,0,15,0,45,25,30,0,25,0,15,20,30,0,0,55,25,0,0,0,0,0
                Croatian,1875,245,485,210,165,145,55,50,50,50,20,20,55,30,20,10,45,10,25,75,10,35,15,10,10,20
                Serbian,7380,65,2025,1075,490,100,90,20,370,30,165,100,415,210,430,435,455,220,165,210,85,90,50,0,25,65
"                Serbo-Croatian, n.i.e.",135,0,0,25,0,0,0,0,0,0,0,0,0,0,0,10,0,0,15,0,0,0,0,0,0,0
              Slovak,1475,0,75,175,30,30,10,0,0,0,25,0,0,30,20,185,790,25,10,0,0,10,0,0,20,0
              Slovene (Slovenian),350,25,40,100,10,20,0,0,10,10,0,25,10,0,0,0,20,10,0,0,0,15,20,0,0,0
              Ukrainian,6445,120,2370,2010,525,185,195,70,105,100,170,45,130,60,25,10,20,30,125,20,20,15,30,0,20,25
"              Slavic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Celtic languages,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
            Irish,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
            Scottish Gaelic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Welsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"            Celtic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Germanic languages,2285,45,115,155,135,35,110,20,255,55,180,145,150,130,130,100,60,25,80,120,55,50,25,0,70,50
            Frisian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            High German languages,1680,30,60,135,100,25,95,15,245,20,75,100,105,100,95,65,35,20,45,75,45,45,25,0,70,45
              German,1285,25,60,135,90,25,35,0,50,20,60,80,75,100,90,65,30,20,35,75,35,30,25,0,70,45
              Pennsylvania German,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Swiss German,120,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Yiddish,270,0,0,0,0,0,55,0,195,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
            Low Saxon-Low Franconian languages,440,0,30,15,30,10,15,0,0,20,70,35,20,20,20,25,0,0,15,45,10,0,0,0,0,10
              Afrikaans,140,0,25,10,0,0,0,0,0,0,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
              Dutch,275,0,10,0,30,0,15,0,0,15,50,35,20,0,0,0,0,0,15,35,0,0,0,0,0,0
"              Low German, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Low Saxon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Plautdietsch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Vlaams (Flemish),20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Scandinavian languages,170,0,25,0,0,0,0,0,0,10,30,15,20,10,15,0,0,0,20,0,0,0,0,0,0,0
              Danish,35,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
              Icelandic,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Norwegian,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Swedish,100,0,15,0,0,0,0,0,0,0,25,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0
"            Germanic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Greek,11310,65,345,185,245,135,350,85,395,390,80,285,445,35,2120,370,915,595,180,705,525,1420,760,250,330,105
          Indo-Iranian languages,134985,14995,2390,2920,870,2010,2330,5460,1320,930,3375,1470,2225,4175,1180,8200,8435,9385,11705,4745,10325,9255,3465,5455,11835,6535
            Indo-Aryan languages,95970,14250,1840,2120,655,1770,985,5030,580,740,2290,690,965,3200,995,4530,5075,3320,1945,4155,9210,7540,2745,5025,10355,5950
              Assamese,70,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
              Bengali,20435,420,205,240,160,305,120,465,30,205,240,80,125,1140,135,345,790,470,320,2295,5870,2075,365,545,2020,1455
              Gujarati,18160,3735,270,505,50,455,200,695,105,50,110,115,90,160,260,430,1235,560,310,185,160,1200,620,1540,4135,980
              Hindi,12160,1425,290,665,145,295,150,300,135,125,1130,205,490,670,95,205,715,895,645,240,450,865,500,380,730,420
              Kacchi,760,10,0,0,0,0,0,0,20,0,0,0,0,0,0,100,310,35,0,105,0,10,55,40,0,15
              Kashmiri,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Konkani,95,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,20,0,0,0,0,0,0,0
              Marathi,1545,70,0,70,60,30,70,0,35,0,105,0,95,140,0,95,45,140,130,90,50,95,95,30,90,20
              Nepali,2400,55,110,90,60,0,75,45,20,0,15,0,20,190,25,0,55,0,90,100,500,610,25,35,205,45
              Oriya languages,380,0,0,0,0,0,0,0,0,0,15,0,0,110,0,0,0,25,0,30,0,60,0,20,0,30
                Odia,245,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,50,0,20,0,0
"                Oriya, n.o.s.",140,0,0,0,0,0,0,0,0,0,10,0,0,25,0,0,0,0,0,0,0,0,0,0,0,30
              Punjabi (Panjabi),14130,6080,240,205,85,235,190,1570,140,195,140,55,50,165,130,200,105,320,65,245,405,640,205,800,650,1020
              Rohingya,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Sindhi,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,25,0,15,0,35,0,15,0,0,15
              Sinhala (Sinhalese),1780,180,40,35,0,30,40,90,10,15,30,0,0,15,20,50,95,135,15,0,90,210,110,55,185,295
              Urdu,23395,2185,645,270,85,420,120,1825,75,75,470,205,70,595,335,3040,1630,700,325,850,1545,1755,725,1550,2300,1585
"              Indo-Aryan languages, n.i.e.",340,70,25,0,0,0,0,15,0,0,0,0,0,0,0,20,20,30,0,10,35,0,0,0,30,50
            Iranian languages,38995,745,550,800,215,235,1345,430,740,190,1085,775,1255,975,190,3670,3360,6065,9755,595,1115,1700,715,435,1480,580
              Baluchi,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
              Kurdish,1115,45,25,35,0,40,85,0,0,35,0,0,45,10,0,35,205,100,95,55,120,50,40,0,20,0
              Parsi,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
              Pashto,3330,80,60,0,0,0,65,130,25,0,65,0,0,45,15,1120,505,100,0,60,140,345,50,165,275,65
              Persian languages,34300,620,470,765,200,190,1125,295,710,160,1015,755,1210,915,155,2465,2640,5845,9620,480,850,1280,630,235,1160,510
                Dari,6655,390,110,80,0,70,185,175,50,0,30,0,0,105,35,425,1155,435,125,225,485,850,235,170,885,400
                Iranian Persian,24755,70,340,620,190,90,810,65,635,145,860,745,1135,660,125,1900,1140,4940,8830,210,240,365,355,60,150,80
"                Persian (Farsi), n.o.s.",2885,160,25,70,15,30,120,50,30,10,125,0,60,155,0,135,340,470,660,45,130,60,35,0,125,25
"              Iranian languages, n.i.e.",125,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"            Indo-Iranian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Italic (Romance) languages,107475,5255,5330,4810,2515,15120,7300,9755,6100,14385,3690,3585,5610,2545,1465,2330,2435,3280,2685,1870,1575,1760,1265,695,1085,1015
            Catalan,65,0,0,0,15,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Italian,20820,1310,1220,860,140,2550,2730,3685,1565,1910,160,640,610,90,305,140,95,380,360,335,395,435,380,85,185,240
            Portuguese,35415,640,1385,1635,1015,7070,950,680,2075,9610,1530,1900,2215,755,335,790,290,710,600,360,295,175,125,60,95,125
            Romanian,4840,125,315,220,135,55,245,10,220,25,65,50,200,70,20,325,760,740,275,220,115,155,170,75,135,115
            Spanish,46245,3155,2410,2090,1205,5420,3375,5360,2240,2830,1940,975,2575,1630,805,1080,1295,1445,1460,950,765,1000,590,475,655,535
"            Italic (Romance) languages, n.i.e.",80,20,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Indo-European languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Japanese,3080,20,40,75,115,50,25,15,70,130,175,350,255,295,95,70,200,195,445,120,90,70,50,30,45,45
        Korean,22605,265,1165,1300,180,200,1230,330,545,290,795,880,1025,1190,160,720,695,2610,7630,220,195,245,390,90,150,95
        Mongolian,260,0,50,70,15,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
        Niger-Congo languages,5610,1170,140,100,110,595,240,1235,110,70,115,50,30,180,60,80,155,85,60,65,230,130,130,100,155,225
          Akan (Twi),2075,635,70,30,20,220,130,615,30,0,0,0,0,20,0,15,0,25,15,10,35,10,20,20,50,80
          Bamanankan,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Edo,135,30,0,0,0,40,0,30,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
          Éwé,35,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Fulah (Pular, Pulaar, Fulfulde)",55,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ga,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
          Ganda,170,20,0,0,0,15,0,10,0,0,35,0,0,10,0,0,15,0,0,0,25,0,0,0,0,0
          Gikuyu,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Igbo,150,10,0,0,0,45,0,50,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
          Kinyarwanda (Rwanda),175,0,0,0,0,0,0,10,0,0,50,0,0,0,0,25,0,0,0,0,0,35,0,0,0,10
          Lingala,110,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,20,0,0,0,25,0,0,0,0,0
          Luba-Kasai,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Mòoré,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Mwani,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ndebele,40,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
          Rundi (Kirundi),130,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,15,0,0,0,15,0,0,0,0,0
          Shona,95,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
          Soninke,65,0,0,0,0,15,25,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Sotho-Tswana languages,55,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Swahili,900,130,30,15,10,55,0,190,30,0,0,0,0,75,25,15,40,15,0,30,45,55,70,0,15,20
          Wojenaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Wolof,75,0,0,0,0,30,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Yoruba,840,180,10,35,0,85,25,235,0,0,0,0,0,15,10,15,0,30,20,0,30,10,15,0,25,45
"          Niger-Congo languages, n.i.e.",350,65,0,0,70,30,25,0,0,10,0,15,0,0,0,0,10,0,0,0,0,0,20,0,25,25
        Nilo-Saharan languages,60,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,0,0,0
          Dinka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Nuer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Nilo-Saharan languages, n.i.e.",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"          African, n.o.s.",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Sign languages,790,35,35,55,40,25,10,40,25,40,20,0,20,15,55,35,20,10,20,40,40,30,55,45,55,30
          American Sign Language,620,30,35,40,20,20,10,30,20,20,0,0,20,15,50,35,15,10,20,35,25,15,40,45,35,30
          Quebec Sign Language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Sign languages, n.i.e.",165,0,0,15,15,10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15,10,10,0,15,0
        Sino-Tibetan languages,170470,955,1630,3520,2345,1455,2110,2165,2030,2530,8060,6820,2020,6380,5440,5395,3795,20435,17080,1910,3135,5800,31765,28420,2845,2440
          Chinese languages,165710,775,1445,1660,1005,1230,2065,2055,2005,2420,7995,6815,2010,6325,5345,5385,3755,20400,17005,1895,3035,5755,31720,28360,2815,2435
            Hakka,1085,0,0,0,0,0,0,0,15,0,40,0,10,10,35,15,20,10,25,0,45,55,265,380,40,60
            Mandarin,85920,300,920,1085,450,310,1075,440,1290,695,5200,4470,1230,4655,1455,3590,2200,13045,11175,535,1040,2740,15600,10290,1160,965
            Min Dong,275,0,0,0,0,0,0,0,0,0,35,0,0,0,25,0,0,0,0,0,0,0,55,135,0,0
"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",2255,20,25,30,25,50,120,105,25,35,75,95,15,40,135,50,75,245,345,25,40,35,380,175,30,30
            Wu (Shanghainese),1080,0,15,45,0,0,40,20,15,25,45,20,0,35,40,50,70,100,155,15,25,40,195,100,0,25
            Yue (Cantonese),73720,440,465,490,505,815,810,1450,660,1625,2520,2155,735,1445,3610,1650,1365,6865,5090,1300,1845,2830,15050,17135,1525,1325
"            Chinese, n.o.s.",1315,0,15,10,15,35,0,35,0,30,75,70,0,125,40,20,20,115,200,10,35,50,170,145,55,25
"            Chinese languages, n.i.e.",55,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,15,20,0,0,0,0,0,0,0
          Tibeto-Burman languages,4740,180,185,1860,1340,230,40,110,25,110,70,0,0,50,95,0,35,35,70,10,85,50,45,55,35,0
            Burmese,310,15,30,25,0,0,20,10,0,0,10,0,0,0,55,0,0,35,0,0,0,0,15,40,0,0
            Kuki-Chin languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Karenic languages,130,0,0,0,0,0,0,85,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              S'gaw Karen,95,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Karenic languages, n.i.e.",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tibetan,4220,155,155,1800,1330,230,0,20,15,65,55,0,0,40,20,0,35,0,65,0,85,50,30,0,35,0
"            Tibeto-Burman languages, n.i.e.",80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Sino-Tibetan languages, n.i.e.",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Tai-Kadai languages,885,45,0,105,10,65,10,120,30,0,50,55,35,85,30,20,25,20,0,20,25,25,65,20,0,20
          Lao,315,40,0,15,0,40,10,115,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Thai,520,0,0,95,10,15,0,0,10,0,45,50,20,80,20,15,20,20,0,0,25,20,50,0,0,0
"          Tai-Kadai languages, n.i.e.",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0
        Turkic languages,8135,250,420,255,135,285,1155,805,375,190,335,260,385,300,265,430,395,445,500,180,95,300,225,40,50,70
          Azerbaijani,565,0,15,0,0,0,140,0,0,0,25,20,20,25,15,30,10,35,175,0,0,0,20,0,0,0
          Kazakh,15,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Turkish,7105,250,340,185,130,285,980,790,375,190,300,240,365,255,255,400,325,390,305,140,95,250,145,40,15,55
          Uyghur,120,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,25,0
          Uzbek,260,0,0,70,0,0,20,0,0,0,0,0,0,0,0,0,40,0,20,0,0,0,55,0,0,10
"          Turkic languages, n.i.e.",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Uralic languages,4650,195,340,185,295,280,210,225,395,165,25,75,335,30,85,140,190,155,190,240,305,210,85,60,100,135
          Estonian,335,0,40,30,20,0,0,0,0,0,0,0,35,0,30,35,20,0,0,50,0,15,0,0,0,10
          Finnish,215,0,0,15,0,0,0,0,0,0,0,0,10,0,25,0,20,0,20,15,40,0,15,0,0,0
          Hungarian,4105,195,305,135,275,275,210,225,395,155,20,60,290,20,35,110,145,145,145,175,260,185,70,50,100,120
"        Other languages, n.i.e.",100,20,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Multiple responses,203625,11175,7025,7810,4495,7925,8585,11460,6885,5420,7740,4175,5110,8925,4595,6960,8940,11275,9835,5740,9415,11675,9200,9685,10785,8785
    English and French,7425,185,210,370,395,255,125,185,135,270,620,290,410,650,555,260,350,235,200,405,255,225,220,80,250,270
    English and non-official language(s),188720,10615,6540,7145,3945,7440,8135,10820,6560,4925,6855,3690,4450,7935,3905,6460,8250,10500,9290,5090,8855,11100,8545,9340,10115,8210
    French and non-official language(s),1015,85,55,55,10,70,0,40,10,30,40,45,15,75,25,25,50,70,15,30,40,40,70,35,55,35
"    English, French and non-official language(s)",2360,65,70,115,55,45,65,65,85,125,85,80,90,150,45,90,125,140,75,90,120,120,60,80,165,145
    Multiple non-official languages,4110,225,155,125,90,110,250,355,95,65,135,60,140,120,60,130,170,335,255,125,135,190,295,145,200,130
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Knowledge of official languages for the population in private households - 25% sample data,2761285,115120,117200,139915,104715,115675,107355,111200,114820,104735,135400,102385,114095,116930,104555,101025,94335,112590,117125,108500,110095,111560,103690,94025,102755,101485
  English only,2399270,104770,104835,123335,86610,103980,96965,100110,100840,86090,114675,82840,96750,100020,85520,85530,83220,98520,102690,93120,99885,101460,84805,75595,93670,93440
  French only,2515,95,75,110,90,150,55,110,25,95,125,70,95,185,60,70,145,75,80,115,115,155,85,65,205,75
  English and French,235990,4660,9380,13065,16155,5335,5210,3465,11190,11385,16685,16075,14900,13985,14530,12640,7375,7490,7480,13495,7085,5445,4830,3455,5330,5340
  Neither English nor French,123510,5595,2915,3410,1865,6210,5125,7515,2765,7160,3920,3395,2355,2745,4445,2780,3600,6510,6875,1765,3010,4500,13970,14910,3545,2630
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",2377950,96620,99900,121460,89700,97205,91800,92430,95710,91630,126130,93395,100635,107625,88370,83725,79750,98425,103695,89815,91970,94595,90390,80925,85580,86445
"  No certificate, diploma or degree",339500,21870,12955,12970,9500,25160,14700,25665,12045,18865,6555,7245,8230,8330,12495,8135,11670,9570,7865,11445,15480,16805,16795,17555,14775,12825
  High (secondary) school diploma or equivalency certificate,555590,28780,25030,25415,17360,29000,23755,28780,20870,19875,17105,16045,17585,20970,18125,16200,20155,20050,20435,20145,25460,27495,24195,23610,24090,25060
"  Postsecondary certificate, diploma or degree",1482860,45965,61920,83080,62845,43045,53345,37990,62790,52895,102470,70110,74825,78330,57750,59390,47925,68805,75390,58225,51030,50290,49400,39765,46715,48560
    Postsecondary certificate or diploma below bachelor level,506235,23845,24385,28905,17435,25130,22690,21680,17725,18555,19905,12700,17725,19720,17250,13170,18860,19825,18360,19740,22050,23080,20490,18105,21600,23290
      Apprenticeship or trades certificate or diploma,80930,4400,4560,4745,2715,5850,4160,4440,2990,3320,2285,1690,2360,2480,2570,1760,2810,2450,2270,3000,3670,3725,2890,2660,3510,3635
        Non-apprenticeship trades certificate or diploma,46255,2580,2545,2505,1550,3190,2455,2640,1720,2010,1315,970,1445,1430,1405,1085,1605,1505,1310,1695,2005,2180,1605,1570,1925,2020
        Apprenticeship certificate,34680,1820,2015,2240,1160,2660,1705,1800,1270,1315,970,720,910,1050,1170,670,1205,940,960,1305,1665,1555,1285,1090,1580,1620
"      College, CEGEP or other non-university certificate or diploma",356760,16295,16915,20660,12725,16875,15105,14605,11885,13355,14670,9160,12650,14495,12620,9010,13460,13770,12645,14335,15650,16315,14495,12975,15430,16660
      University certificate or diploma below bachelor level,68545,3145,2910,3500,1995,2410,3425,2635,2850,1880,2955,1855,2715,2745,2055,2405,2590,3605,3450,2410,2735,3045,3100,2470,2655,2995
    Bachelor’s degree or higher,976620,22120,37540,54175,45405,17910,30650,16310,45065,34340,82560,57405,57100,58605,40500,46220,29065,48980,57030,38480,28980,27210,28905,21660,25115,25270
      Bachelor's degree,615160,15115,24385,34155,27085,12865,20120,11755,26925,21915,52415,31820,32555,35430,25070,26460,18905,30300,35035,24180,18615,18920,20355,15905,17080,17815
      University certificate or diploma above bachelor level,62665,1670,2870,3965,2795,1305,2670,1325,3390,1940,4215,2925,3945,3420,2390,2870,2020,3250,3285,2365,1690,1820,1890,1280,1640,1735
"      Degree in medicine, dentistry, veterinary medicine or optometry",24935,385,1115,1170,900,215,935,260,1850,380,1545,2105,1835,1670,590,2250,750,1480,1880,535,680,495,580,415,490,440
      Master's degree,238410,4560,8020,13210,12335,3160,6020,2720,11165,8690,22025,16555,15875,15515,10535,12635,6640,12160,14510,9940,7295,5550,5385,3675,5420,4815
      Earned doctorate,35445,400,1150,1675,2295,370,905,250,1730,1415,2360,4005,2890,2575,1920,2005,750,1800,2320,1460,700,430,705,380,490,470
,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigenous Peoples,,,,,,,,,,,,,,,,,,,,,,,,,,
