Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
            Karenic languages,175,15,0,0,0,0,0,135,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tibetan,3335,25,35,1055,1605,140,20,0,0,145,30,0,20,45,45,10,0,15,0,30,65,20,0,10,0,0
"            Tibeto-Burman languages, n.i.e.",95,0,0,10,0,0,0,20,0,0,0,0,0,0,50,0,0,10,0,0,0,0,0,0,0,0
        Tai-Kadai languages,595,95,0,20,0,20,30,70,60,10,10,45,25,20,20,0,10,10,25,30,35,0,0,0,10,20
          Lao,235,65,0,0,0,15,20,65,30,0,10,0,10,0,15,0,0,0,0,0,0,0,10,0,0,0
          Thai,360,25,0,20,10,0,10,0,25,0,10,40,20,20,10,0,15,10,25,35,35,0,0,0,0,25
"          Tai-Kadai languages, n.i.e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Turkic languages,6325,275,275,235,130,235,735,635,235,215,110,130,225,190,90,520,580,355,300,200,115,320,125,45,55,10
          Azerbaijani,355,10,0,10,0,0,80,0,10,0,10,0,0,30,0,35,40,40,70,10,0,10,10,0,0,0
          Turkish,5440,250,205,175,130,205,605,615,225,215,90,130,205,160,90,465,450,295,195,190,70,295,115,0,60,10
          Uyghur,155,20,35,0,0,15,0,0,0,0,0,0,0,0,0,0,45,10,0,0,0,20,0,20,0,0
          Uzbek,285,0,20,50,0,10,50,15,0,0,0,0,0,0,0,10,25,20,30,0,40,0,0,20,0,0
"          Turkic languages, n.i.e.",90,0,25,0,0,0,0,0,10,0,10,0,15,0,0,10,20,0,0,0,10,0,0,0,0,0
        Uralic languages,6035,180,395,190,555,350,430,385,435,325,50,85,325,70,75,270,345,190,205,360,285,140,80,10,190,105
          Estonian,450,10,10,10,35,10,0,0,25,25,0,0,30,10,15,60,45,20,35,20,20,10,10,0,10,35
          Finnish,235,10,0,0,0,0,0,0,60,0,10,15,0,0,10,15,35,15,10,0,0,10,10,0,20,15
          Hungarian,5350,165,380,175,520,340,430,375,345,300,40,65,300,60,50,195,265,155,160,340,265,125,55,10,160,55
"          Uralic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Other languages, n.i.e.",190,20,10,0,0,10,0,20,0,0,10,0,0,40,10,25,0,10,0,10,15,0,0,0,15,10
  Multiple responses,242920,15290,8785,8420,5745,11935,12840,12640,8945,8110,5820,4695,5630,7605,5725,7520,11005,12150,11855,6795,10340,14495,11645,11730,12870,10320
    English and French,6190,195,230,410,275,230,145,195,210,240,340,320,345,370,320,170,265,210,170,365,280,185,170,100,210,230
    English and non-official language,231115,14800,8355,7790,5295,11560,12485,12210,8530,7660,5330,4215,5115,7020,5260,7225,10430,11675,11480,6155,9780,13960,11260,11405,12315,9810
    French and non-official language,1315,75,35,50,35,15,35,90,40,50,40,35,55,45,50,30,80,80,15,110,25,110,25,40,80,65
"    English, French and non-official language",4295,220,170,175,145,125,180,145,165,160,100,130,115,175,95,90,230,180,185,170,255,240,190,180,255,220
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Knowledge of official languages for the population in private households - 25% sample data,2691665,116960,116055,127520,106445,115130,103760,107725,112925,107395,114315,100515,104945,99585,105395,101790,93165,109055,117405,108435,108290,110445,104225,97610,101115,101445
  English only,2313170,105660,103180,111805,86600,103180,92465,96230,98240,87605,94510,79630,87010,83530,85775,85410,81020,93900,101760,92350,97735,99775,83815,77175,91900,92905
  French only,2560,170,95,110,85,175,75,90,70,115,75,40,50,115,95,60,185,110,100,165,115,150,100,40,135,35
  English and French,244050,5105,9845,12450,17135,5600,5765,3715,11960,11610,15595,17170,15560,13480,14470,13610,8195,8200,8495,13255,7150,5770,4720,3845,5340,6005
  Neither English nor French,131885,6015,2935,3155,2625,6170,5455,7690,2655,8065,4130,3680,2310,2470,5055,2715,3760,6845,7050,2660,3285,4750,15595,16550,3740,2495
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",2294790,95295,98790,110720,90620,95660,88040,87560,92465,93955,106895,91375,92240,91415,88800,82625,78080,94410,103860,89245,89655,92275,89925,82740,83080,85065
"  No certificate, diploma or degree",377340,23735,14795,14475,10605,27960,16440,28170,13145,22730,6690,8080,8765,8085,14375,8850,12395,10540,9135,12815,17005,18515,19025,20360,16430,14220
  Secondary (high) school diploma or equivalency certificate,561090,29205,25510,25080,17590,27945,22670,26340,20115,21600,16330,17835,16700,19390,19060,16100,20360,20945,22195,20530,26000,28185,25490,25515,24770,25620
"  Postsecondary certificate, diploma or degree",1356355,42350,58480,71165,62430,39750,48935,33045,59210,49625,83870,65460,66775,63935,55370,57680,45325,62925,72525,55900,46645,45570,45415,36865,41880,45220
    Apprenticeship or trades certificate or diploma,94005,5205,4915,5045,3385,6765,4635,5275,3605,4310,2290,1905,2655,2675,3045,1755,3345,2900,2810,3590,4470,4820,3245,3025,4025,4315
      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,53060,2850,2720,2705,1930,3635,2695,2930,2120,2300,1235,1070,1565,1560,1885,1055,1935,1775,1640,2085,2415,2655,1870,1765,2180,2490
      Certificate of Apprenticeship or Certificate of Qualification,40945,2355,2200,2340,1450,3130,1940,2350,1480,2015,1055,830,1090,1110,1160,695,1410,1130,1175,1500,2055,2170,1375,1265,1840,1825
"    College, CEGEP or other non-university certificate or diploma",362080,16140,16965,20855,14445,16350,14875,13380,12430,13885,14180,9120,12835,12815,14005,10060,13760,14415,13295,15560,16540,16435,14305,12635,15325,17455
    University certificate or diploma below bachelor level,65015,2560,2830,2995,2140,2540,3070,2000,2910,1885,2360,2235,2770,2710,2000,2385,2665,3585,3685,2185,2575,2830,2800,2420,2260,2630
"    University certificate, diploma or degree at bachelor level or above",835255,18445,33770,42270,42460,14095,26360,12385,40265,29545,65045,52195,48515,45735,36315,43480,25565,42025,52730,34560,23065,21490,25065,18785,20275,20830
      Bachelor's degree,534610,12800,22155,27515,25890,10305,17065,8985,24170,19590,43160,29325,28050,28270,23200,25195,16660,26180,32770,21815,15115,15225,17925,14345,13785,15120
      University certificate or diploma above bachelor level,54570,1210,2555,3215,2550,1280,2640,775,2910,1495,3610,3030,3310,2750,2165,2975,1830,2575,3345,2200,1465,1440,1480,995,1495,1280
"      Degree in medicine, dentistry, veterinary medicine or optometry",23545,455,895,800,770,210,920,245,1865,375,1450,2010,1620,1260,470,2375,745,1590,2170,605,465,430,530,385,505,420
      Master's degree,192120,3645,7120,9455,11175,2010,4905,2115,9680,6940,15095,14230,13255,11410,9065,11135,5560,10040,12190,8650,5455,4015,4540,2740,4015,3670
      Earned doctorate,30415,330,1050,1285,2075,295,830,270,1640,1145,1725,3595,2275,2055,1410,1800,770,1645,2250,1290,565,390,590,330,470,335
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethnoculture,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Ethnic origin for the population in private households - 25% sample data,2691665,116960,116055,127525,106440,115130,103760,107730,112920,107395,114315,100520,104940,99590,105400,101795,93165,109055,117405,108435,108290,110445,104230,97610,101115,101445
  North American Aboriginal origins,35630,680,1210,2235,2580,1320,730,745,905,2025,1725,1615,1605,2020,2700,1115,1135,570,515,3120,2445,1235,470,230,1610,1085
    First Nations (North American Indian),27610,565,890,1695,1995,1095,615,595,665,1615,1220,1110,1220,1515,2135,845,845,465,370,2540,1840,1005,355,190,1325,880
    Inuit,520,10,30,35,55,15,10,0,10,10,20,35,15,55,25,60,10,10,10,15,30,0,0,0,30,25
    Métis,8465,115,335,510,635,270,120,160,250,490,500,505,420,550,630,275,295,120,140,650,625,250,120,35,265,195
  Other North American origins,345705,9620,14840,21575,18805,10600,9610,8290,18665,15030,17230,16890,18455,14660,20885,16395,10365,6870,6985,22650,18130,12820,6420,5265,12215,12415
    Acadian,2315,40,35,155,220,40,25,35,155,180,155,190,115,105,240,130,70,15,75,170,75,15,10,25,10,45
    American,27470,430,965,1575,2040,590,825,355,2715,1425,1360,2235,2020,1340,1945,1520,770,490,535,1615,700,575,285,190,450,520
    Canadian,323175,9250,14070,20265,17145,10045,8890,7975,16595,13730,15985,15245,16900,13595,19385,15355,9650,6460,6525,21315,17585,12335,6135,5065,11740,11960
    New Brunswicker,45,0,0,10,0,10,0,0,10,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,10,0
    Newfoundlander,1430,45,55,90,90,65,35,25,30,100,80,35,35,60,70,25,60,0,15,170,90,80,45,10,60,40
    Nova Scotian,330,15,15,15,0,20,0,0,0,0,10,10,0,0,20,10,40,10,10,50,30,15,0,0,55,0
    Ontarian,380,0,15,25,40,15,10,30,30,20,15,10,10,10,10,0,10,10,10,35,35,10,30,0,10,15
    Québécois,880,25,40,40,40,0,50,10,15,75,55,70,50,70,65,10,50,15,10,75,45,10,10,0,25,35
"    Other North American origins, n.i.e.",150,0,10,35,15,10,0,0,0,10,10,0,10,15,10,0,0,0,10,10,0,0,0,0,10,0
  European origins,1288855,29290,83380,88845,78390,54430,53210,30070,72965,74520,64550,66235,73875,48660,69605,56625,37470,31495,37235,70790,44820,32830,18875,9915,30230,30545
    British Isles origins,597295,10280,29050,40110,43505,13060,8070,6795,24760,27300,36130,36960,35800,29130,43180,33455,17260,11390,13100,46470,27860,15495,8480,4985,17105,17560
      Channel Islander,180,0,15,0,20,0,0,0,0,10,0,10,0,0,35,10,10,0,20,15,0,0,0,0,0,0
      Cornish,150,0,10,10,10,0,0,0,25,10,0,0,20,15,10,10,0,0,0,25,10,0,0,0,0,0
      English,331890,5655,16575,21825,23765,7075,4665,3990,14215,14595,18780,20720,19435,15625,24110,19520,9450,6475,7570,26255,15440,8660,4925,2915,9790,9895
      Irish,262965,3865,12590,18315,21310,5140,2675,2255,10335,12380,16705,16665,15985,13365,20550,14465,7505,4585,5365,21535,12485,6200,3075,1605,6910,7095
      Manx,435,40,35,15,40,10,10,0,20,10,10,45,25,15,50,15,0,0,10,35,20,0,0,0,0,10
      Scottish,256250,4025,12040,17225,19915,5000,2620,2255,11005,11790,15040,16420,15540,12545,19745,15210,7495,4755,5280,20520,11835,6435,3320,1940,7035,7265
      Welsh,28210,375,1350,1940,2405,465,235,165,1080,1465,1630,1825,1845,1435,2375,1860,820,490,485,2450,1310,605,245,95,625,630
"      British Isles origins, n.i.e.",52900,840,2185,3465,4170,1055,730,440,2535,2945,3720,3530,3730,2850,3780,2975,1265,890,1175,3865,2075,1000,630,305,1285,1465
    French origins,122870,2015,4825,8455,9480,3150,1855,1770,4450,6465,8880,7785,7540,7215,9360,5840,3430,2300,2385,9410,5275,2895,1460,885,3175,2585
      Alsatian,265,0,0,20,30,0,0,0,0,20,25,20,25,25,15,15,10,10,10,15,10,0,10,0,0,0
      Breton,40,0,0,0,10,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,10,0,10,0,0,0
      Corsican,40,0,0,0,0,10,0,0,0,0,0,0,10,0,10,0,0,0,0,10,10,0,0,0,0,0
      French,122610,2015,4820,8435,9455,3150,1855,1765,4450,6440,8850,7760,7515,7195,9340,5825,3420,2290,2380,9400,5260,2885,1460,885,3170,2585
    Western European origins (except French origins),187190,3090,9055,12660,14855,3810,3630,1950,10245,9085,12365,12445,12210,9800,13155,9540,5220,4050,4765,13080,6475,3645,2170,1130,4200,4560
      Austrian,16145,205,950,985,1175,220,560,90,1405,680,1010,1055,1435,560,850,965,475,420,520,995,455,250,215,95,340,250
      Bavarian,80,10,0,10,0,0,0,0,0,10,0,0,20,0,15,0,0,0,0,0,0,10,0,0,10,0
      Belgian,4895,50,170,385,360,95,85,20,350,280,420,350,335,290,345,295,105,85,85,345,140,70,30,30,110,80
      Dutch,41650,695,1790,2690,3195,850,700,395,1710,2345,2785,2745,2560,2445,3255,1995,1225,750,1095,3100,1620,870,565,325,740,1215
      Flemish,465,0,40,30,50,0,0,0,30,40,20,75,75,25,30,15,10,0,10,15,10,10,0,0,0,0
      Frisian,235,0,10,0,35,10,10,0,10,40,15,0,25,10,10,0,0,10,10,25,0,0,0,10,0,0
      German,130895,2255,6340,9070,10470,2840,2460,1485,6945,6095,8680,8735,8335,6795,9225,6660,3660,2815,3250,9160,4450,2550,1420,760,3180,3265
      Luxembourger,130,0,0,0,15,10,0,0,0,10,0,20,10,10,15,10,0,0,10,0,20,0,0,0,0,10
      Swiss,7630,55,330,470,885,85,80,70,635,355,360,505,520,330,570,480,180,190,185,510,210,140,90,35,210,155
"      Western European origins, n.i.e.",340,0,35,20,55,0,0,0,10,20,10,20,10,25,10,0,10,0,0,45,35,20,0,0,0,0
    Northern European origins (except British Isles origins),36720,450,1465,2295,2990,460,500,290,1475,2040,2880,2965,2600,2045,2940,2295,885,585,825,3030,1265,520,365,215,690,645
      Danish,7580,90,290,505,555,120,100,50,140,475,650,635,530,530,710,380,205,100,125,625,160,170,75,75,165,135
      Finnish,8165,195,345,430,625,75,125,70,405,350,590,490,495,375,570,510,260,190,310,695,435,150,85,55,150,195
      Icelandic,2305,10,85,155,190,20,45,10,135,100,205,250,165,115,205,120,25,40,30,210,80,0,20,10,30,40
      Norwegian,9180,125,350,530,850,170,95,80,365,585,730,800,625,500,695,710,205,115,165,720,205,75,115,30,190,135
      Swedish,10400,80,320,725,900,105,140,75,515,520,765,875,845,595,770,725,220,170,230,895,335,150,145,35,135,120
"      Northern European origins, n.i.e.",1950,10,150,75,125,20,30,35,65,155,160,155,170,95,175,55,20,15,35,165,100,10,10,10,70,40
    Eastern European origins,302480,4355,23260,27110,22965,5635,21550,3145,26450,10805,14350,15560,23385,10790,11770,14665,8855,9965,14040,11935,6275,3825,2425,910,4170,4270
      Bulgarian,6495,100,545,435,300,140,425,70,245,125,215,200,320,285,485,320,605,295,230,415,225,160,115,40,100,80
      Byelorussian,4085,25,135,300,320,65,635,35,320,165,220,170,335,165,100,210,75,175,365,110,65,15,45,0,35,10
      Czech,9505,75,640,665,880,195,355,160,790,410,620,675,635,375,495,430,310,150,240,435,275,200,70,25,225,185
"      Czechoslovakian, n.o.s.",2320,60,185,175,110,15,235,10,345,75,125,105,110,60,95,155,60,35,115,70,45,20,25,15,40,35
      Estonian,4615,35,195,260,330,65,45,25,255,160,235,195,315,180,265,455,245,175,165,300,225,85,45,55,95,200
      Hungarian,33700,595,1710,1795,2220,970,2105,760,4010,1410,1430,1700,2480,1070,1390,1630,1100,1235,1285,1655,1010,630,325,115,515,560
      Latvian,5710,40,290,305,610,85,385,35,360,260,335,270,445,205,305,325,255,105,275,380,90,80,75,10,85,90
      Lithuanian,11670,65,585,885,1365,165,950,20,1730,495,605,675,1310,340,385,625,140,245,375,325,100,55,25,25,45,140
      Moldovan,1270,10,130,100,65,10,265,0,70,20,20,55,75,35,20,35,25,80,180,45,10,10,10,0,0,10
      Polish,114530,1905,8575,11685,9015,2135,7140,935,13500,4170,5210,6435,10815,3695,4305,5405,2050,2825,3730,3840,2185,1055,620,300,1465,1555
      Romanian,26255,265,1160,1025,950,335,2045,245,2880,660,1185,1180,2385,735,880,1645,1740,2255,1375,960,445,615,410,110,410,370
      Russian,74465,470,2580,3655,3715,755,9815,600,9450,2530,3490,4290,8090,2740,2575,4140,1400,3020,6125,2200,900,495,395,60,515,475
      Slovak,7615,170,760,810,600,100,145,120,350,270,400,380,325,290,355,635,845,130,150,260,100,80,65,0,170,120
      Ukrainian,72340,1180,9425,9640,6920,1510,3745,580,2930,2875,3800,3315,3505,3060,3160,2600,1400,1560,3020,2990,1625,790,515,260,955,1005
"      Eastern European origins, n.i.e.",5210,0,145,90,160,10,440,10,1095,305,115,565,945,135,155,280,75,150,210,195,25,30,0,15,25,25
    Southern European origins,441485,14610,36075,26870,18800,36925,22190,20325,22450,41085,17570,17160,18105,10205,20105,11995,11850,10080,10260,17550,12715,13670,8120,3845,9165,9755
      Albanian,11120,455,1720,1285,290,550,300,200,1345,160,130,160,420,140,675,250,545,330,225,465,400,590,55,10,220,200
      Bosnian,2965,75,700,380,135,45,30,30,170,80,155,55,110,80,155,110,140,60,65,160,65,80,50,10,0,10
      Catalan,120,0,0,10,10,15,0,0,10,25,10,10,10,10,0,0,10,10,0,0,0,0,0,0,0,0
      Croatian,13675,720,2200,1670,1320,425,330,215,380,530,760,500,675,435,510,520,320,325,420,470,265,205,75,50,170,190
      Cypriot,1470,10,90,35,50,20,10,15,70,25,55,25,70,25,155,50,115,90,10,75,80,105,70,10,55,170
      Greek,57425,740,2285,1725,1945,1145,1790,640,2185,1955,1565,1700,2185,1025,7660,2435,3780,2590,1370,4590,2830,4945,2805,635,1705,1185
      Italian,182495,7855,17545,11550,7200,14710,13875,13800,10725,11870,7725,7405,7625,4530,5905,5105,2670,3170,4795,6760,4440,3365,2635,1010,2790,3430
      Kosovar,270,10,30,15,0,20,0,25,20,30,0,0,0,10,0,10,0,0,0,0,45,10,0,0,35,0
      Macedonian,13325,90,920,475,335,185,165,120,540,255,290,375,330,230,935,625,675,640,375,920,975,1240,740,245,840,795
      Maltese,6765,425,1015,735,990,530,80,55,140,260,360,140,265,175,225,65,175,40,185,230,235,105,60,45,120,125
      Montenegrin,930,10,190,110,65,0,20,10,55,10,25,30,40,40,70,75,20,60,35,35,15,10,0,0,0,10
      Portuguese,100415,2230,5560,5395,3510,16720,2640,2515,4490,24345,4420,4950,3795,1605,1970,1255,1275,1310,1285,2150,1865,1545,900,770,1790,2125
      Serbian,19375,240,3855,2310,1805,235,415,125,965,335,795,550,1100,655,1155,925,980,510,575,685,220,345,130,65,205,200
      Sicilian,680,15,20,40,30,15,10,10,20,25,30,45,45,0,55,10,35,0,30,120,45,0,10,0,30,45
      Slovenian,5475,135,820,790,430,150,85,75,315,175,265,280,225,140,205,310,130,185,185,230,60,75,15,55,60,95
      Spanish,56815,2350,2660,2435,2330,3830,3610,3470,2675,3135,2465,2065,2845,2125,1755,1450,1880,1670,1735,2110,1940,2130,1090,1180,1825,2055
"      Yugoslavian, n.o.s.",3310,95,285,325,195,80,55,90,85,130,125,155,175,135,165,235,85,155,75,160,180,100,50,20,60,90
"      Southern European origins, n.i.e.",260,0,10,15,15,15,15,15,0,0,15,10,25,15,15,10,10,0,20,20,0,0,35,0,0,0
    Other European origins,42135,380,715,975,1720,465,6270,415,6700,2035,1530,3110,4675,1480,1635,2080,885,1320,2885,1190,410,290,255,50,270,390
      Basque,510,0,20,10,10,20,0,0,10,45,40,60,55,40,55,45,0,10,25,35,10,15,0,0,20,0
      Jewish,34265,240,435,665,1325,240,5765,200,5775,1625,1065,2715,4100,1090,1320,1760,510,1115,2655,890,175,150,150,35,115,155
      Roma (Gypsy),900,20,60,60,75,0,75,55,10,45,10,20,20,40,35,10,220,10,10,15,50,10,0,10,20,40
"      Slavic, n.o.s.",495,0,70,40,60,15,20,20,15,25,30,10,15,20,25,10,10,15,55,0,15,0,0,0,10,10
"      Other European origins, n.i.e.",6320,120,135,210,265,195,435,150,930,310,380,355,540,300,220,295,145,190,170,260,165,120,105,10,110,195
  Caribbean origins,165735,14040,4325,4860,3880,16375,6245,14970,4585,5350,4610,2230,4505,3945,4000,2230,5550,3695,1965,5115,7510,8310,5110,6565,11045,14710
    Antiguan,1315,55,50,30,20,45,60,40,30,20,45,15,45,40,30,25,75,60,20,65,135,55,80,125,45,95
    Bahamian,620,15,15,45,30,10,15,15,70,55,65,25,15,30,20,15,20,25,10,15,10,15,0,0,40,40
    Barbadian,9015,340,300,275,350,535,180,355,255,365,330,170,220,340,405,105,420,280,140,475,500,435,315,365,570,1005
    Bermudan,645,0,25,50,15,15,15,30,35,30,75,25,10,15,70,10,45,10,0,60,30,20,0,10,35,15
    Carib,995,10,50,40,15,50,40,45,55,50,25,35,25,25,35,10,15,15,0,75,40,75,45,50,75,100
    Cuban,5340,320,395,310,225,470,255,300,270,370,100,195,210,210,150,120,190,125,110,165,130,155,90,140,155,170
    Dominican,3580,310,105,75,85,480,245,495,125,160,100,70,70,120,75,60,85,25,65,95,155,110,65,90,145,160
    Grenadian,7370,555,90,165,170,1420,245,640,330,435,210,60,305,105,65,40,270,140,70,260,325,315,195,185,330,435
    Guadeloupean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Haitian,3435,325,70,110,90,165,75,275,60,95,140,45,35,105,75,45,95,40,30,100,215,255,105,95,520,265
    Jamaican,90065,8100,2330,2420,1800,9670,3750,9185,2335,2240,2095,1025,2320,1775,1930,1210,2970,2005,925,2320,4120,3925,3025,3610,6445,8535
    Kittitian/Nevisian,905,80,25,60,15,55,25,140,40,20,25,10,30,40,50,10,30,15,10,50,40,20,30,25,45,30
    Martinican,80,0,0,0,0,0,10,0,0,0,0,0,10,10,0,0,10,0,0,0,0,20,0,0,0,0
    Montserratan,240,0,20,0,0,10,20,0,0,0,0,10,10,0,10,0,0,10,0,20,10,35,25,15,10,50
    Puerto Rican,445,10,20,20,25,40,25,30,30,35,0,20,30,40,45,10,0,0,10,30,0,0,10,0,10,10
    St. Lucian,3530,435,40,45,55,745,205,505,70,95,45,20,85,25,110,0,120,60,25,70,155,155,80,80,130,185
    Trinidadian/Tobagonian,20210,1315,530,795,730,905,440,785,550,745,900,300,630,760,675,375,805,645,380,810,1015,1195,680,965,1255,2045
    Vincentian/Grenadinian,6170,570,135,110,140,865,255,880,140,170,115,20,110,95,75,75,165,145,55,140,310,390,145,140,480,440
"    West Indian, n.o.s.",20320,2120,455,530,350,1405,535,1935,375,635,460,220,485,365,415,170,695,330,190,720,1010,1605,595,1005,1530,2180
"    Caribbean origins, n.i.e.",7870,490,110,165,125,945,205,645,225,325,365,130,340,335,225,125,335,270,115,225,245,335,190,365,450,590
"  Latin, Central and South American origins",113820,7835,4810,4545,4045,11175,6025,11610,4645,7620,4420,2910,4400,3565,2880,2405,3300,2800,2410,3085,3210,3840,1730,2070,3750,4740
    Aboriginal from Central/South America (except Arawak and Maya),4495,220,140,160,180,470,230,295,165,465,140,135,260,170,120,95,135,110,55,145,75,145,100,105,235,145
    Arawak,475,25,20,30,15,10,20,0,0,40,20,10,15,10,30,0,25,10,10,35,15,30,20,15,45,40
    Argentinian,4250,295,230,245,180,415,335,665,210,220,175,140,230,115,100,130,115,75,95,85,30,70,10,25,45,35
    Belizean,185,0,0,0,20,10,0,0,0,0,10,10,15,10,25,10,15,15,10,10,10,0,15,0,0,10
    Bolivian,785,70,70,10,25,60,85,65,35,55,30,35,50,10,10,25,0,15,10,50,20,10,25,0,0,0
    Brazilian,8365,175,400,550,305,1300,245,155,575,1330,450,385,535,385,165,230,140,185,290,270,80,75,55,0,50,35
    Chilean,5900,580,495,330,325,440,285,590,175,615,255,170,270,180,305,45,65,125,100,120,105,130,65,15,80,40
    Colombian,12235,640,945,575,405,800,890,845,815,525,535,310,600,425,265,510,885,585,495,200,250,245,130,75,140,165
    Costa Rican,1070,80,80,25,10,195,90,140,55,55,50,25,50,25,10,10,20,15,10,40,15,15,10,15,20,25
    Ecuadorian,9990,730,400,290,240,1750,905,2310,350,975,255,240,335,165,85,70,100,85,150,125,110,110,25,55,25,95
    Guatemalan,3110,370,130,105,90,500,250,625,90,170,80,85,80,50,60,60,25,20,20,35,30,45,0,50,85,60
    Guyanese,26690,2580,560,510,645,1410,660,2485,530,695,660,320,365,685,710,350,875,520,280,955,1670,1915,735,1250,2100,3215
    Hispanic,2145,100,145,65,100,200,190,285,70,155,60,75,85,50,20,30,55,90,35,45,75,30,35,10,55,85
    Honduran,1020,70,10,70,25,265,90,95,55,90,65,20,30,20,15,10,0,0,0,45,10,10,0,0,10,15
    Maya,785,25,20,20,20,95,40,65,40,100,20,10,60,30,20,25,15,20,25,30,30,25,10,0,35,15
    Mexican,12095,525,460,665,720,950,495,785,610,1050,600,460,710,635,385,425,295,250,400,395,240,240,145,85,345,220
    Nicaraguan,2330,250,85,45,55,200,115,215,70,150,95,35,45,65,105,50,90,30,0,70,135,170,25,25,115,85
    Panamanian,890,65,50,25,55,65,65,25,30,10,0,20,55,15,10,20,30,20,15,45,50,30,55,20,55,50
    Paraguayan,165,0,10,50,0,0,35,0,0,15,10,0,10,0,10,0,0,15,0,0,0,0,0,0,0,0
    Peruvian,4990,220,190,285,275,565,300,500,225,370,250,185,295,210,135,115,105,220,115,125,55,35,70,50,30,70
    Salvadorean,9565,935,410,255,235,1590,705,1815,270,630,245,160,205,150,130,65,145,205,80,125,240,320,145,125,165,215
    Uruguayan,1300,105,85,80,80,155,100,150,110,60,35,25,60,15,30,10,30,35,55,25,0,25,25,0,0,0
    Venezuelan,4220,45,140,295,170,230,120,45,200,285,405,185,300,205,165,115,110,255,270,205,105,125,35,100,65,55
"    Latin, Central and South American origins, n.i.e.",5075,370,155,165,155,425,270,550,335,350,250,150,160,160,115,120,160,95,115,90,70,185,60,135,200,255
  African origins,146870,17235,4810,4445,4180,13370,4680,12005,4750,4455,5430,3100,4315,7925,3445,3280,6565,3830,2715,4845,7120,5545,3910,2770,6235,5920
    Central and West African origins,31135,5665,1040,730,730,3265,970,5590,625,790,800,330,455,1210,435,375,1085,635,340,730,910,895,545,395,1395,1200
      Akan,460,160,20,0,0,40,20,95,0,0,10,0,0,0,0,0,0,0,35,0,0,0,0,15,45,10
      Angolan,845,20,70,20,45,170,15,10,15,145,35,40,55,95,0,0,15,0,0,0,15,55,0,0,10,0
      Ashanti,555,210,10,10,0,55,10,135,10,0,0,0,30,10,15,0,0,30,0,0,0,0,0,0,20,0
      Beninese,235,30,0,0,0,15,0,40,20,15,0,0,10,20,0,10,10,0,15,0,35,0,0,0,0,0
      Burkinabe,45,0,0,0,0,10,0,0,0,0,10,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0
      Cameroonian,1570,140,80,65,25,125,30,140,20,15,20,35,10,40,15,30,200,100,35,120,0,150,45,20,50,50
      Chadian,130,40,0,0,10,20,15,0,0,0,10,10,0,20,0,0,0,0,0,0,0,10,0,0,0,0
      Congolese,2625,170,40,35,70,195,35,120,95,65,60,55,20,270,115,50,245,40,25,135,185,130,30,20,185,235
      Edo,490,245,0,0,0,25,0,125,0,15,15,0,0,0,10,0,0,0,0,0,20,10,10,0,10,0
      Ewe,75,10,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,35
      Gabonese,35,0,0,0,0,0,0,0,0,0,10,0,0,20,0,0,0,0,0,0,0,0,0,0,10,0
